subject,ects,classtype,term,offered,first_year,description
Seminar: Software Testing,3,"- samodzielny wybór i lektura materiałów,
- przygotowanie i wygłoszenie prezentacji,
- wysłuchanie i zrozumienie wygłoszonych referatów,
- uczestnictwo w dyskusji.",summer,True,False,"Seminarium dotyczy metod, technik, norm, narzędzi testowania.
Oprócz testowania systemów obiektowych (modele, wzorce, narzędzia) ważne będą
również testy akceptacji, pokrycie testami, automatyzacja testów itp.

**Program:**

  1. Wytwarzanie oprogramowania sterowane testami
  2. Testy akceptacji
  3. Automatyczne testowanie interfejsów
  4. Modele testów
  5. Wzorce projektowania testów
  6. Narzędzia testowania
  7. Projektowanie automatyzacji testów
  8. Zgodne z RODO testowanie oprogramowania

****"
Object-oriented programming,6,"* wykład
* prezentacja rozwiązań i live coding
* samodzielna implementacja zadań
* realizacja i prezentacja projektu programistycznego",summer,True,True,"Celem zajęć jest poznanie jednego z najpowszechniej stosowanego paradygmatu programowania: programowania obiektowego. Program obejmuje zarówno przedstawienie podstawowych pojęć takich jak klasa, obiekt, dziedziczenie czy metody wirtualne, jak i praktykę  wykorzystania tych elementów w budowaniu złożonych programów za pomocą wzorców projektowych.

Naukę programowania obiektowego będą wspierać języki obiektowe, zarówno te z tzw. statycznym typowaniem jak i dynamicznym."
Design of database applications,5,"* Pracownia programistyczna
* Wykład",summer,True,False,"Dobrze zaprojektowana aplikacja przetwarzająca i prezentująca dane ma wiele warstw i komponentów o określonych odpowiedzialnościach. Celem wykładu jest zaprezentowanie, jak dobrze taki typ aplikacji zaprojektować i oprogramować.
Podczas wykładów oraz towarzyszących im pracowni będziemy poznawać i budować kolejne elementy rozwiązania, aby ostatecznie otrzymać kompletny, działający system.

**Program**

Składa się z dwóch głównych części

**Część 1: DBMS**

  1. Podstawy Microsoft SQL Server
  2. Język SQL
  3. Programowanie w T-SQL
  4. Kursory, wyzwalacze, funkcje i procedury
  5. Transakcje i blokady
  6. Optymalizacja w tym normalizacja, indeksy i plany wykonania
  7. Przegląd wybranych baz danych typu NoSQL

**Część 2: System informatyczny**

  1. Podstawy uruchomienia rozwiązania w chmurze
  2. Architektura Microservices, podstawy konteneryzacji
  3. Architektury aplikacji z bazą danych
  4. Przegląd Domain-Driven Design
  5. Wzorce CQRS i Event Sourcing
  6. Podstawy testowania
  7. Wzorzec repozytorium, w tym narzędzia ORM i LINQ
  8. Walidacja danych
  9. Modele danych i automapper
  10. Prezentacja danych, w tym
      - sposoby prezentacji informacji
      - stronicowanie, sortowanie, filtry
      - wzorzec specyfikacji
  11. Integracja systemów, w tym
      - wzorce integracyjne
      - usługi danych, protokół OData
      - API management
      - podstawy federacji tożsamości
  12. Skalowalność rozwiązań, 
  13. Zarządzanie transakcjami, transakcje rozproszone
  14. Podstawy analizy danych i raportowania

**Wymagania:** Umiejętność programowania na dowolnej platformie
programistycznej oraz znajomość materiału z kursu WWW"
Advanced Data Mining,6,"samodzielne czytanie literatury, prezentacja, dyskusja",summer,True,False,"_**UWAGA**: W przypadku takiej konieczności, w roku akademickim 2020/21 zajęcia mogą być prowadzone zdalnie: wykłady będą prowadzone online przez Google Meet lub podobne narzędzie interaktywnej komunikacji, a pracownie będą miały formę indywidualnych spotkań online._

Celem przedmiotu jest zapoznanie słuchaczy z zaawansowanymi algorytmami eksploracji danych, dotyczącymi głównie systemów rekomendujących, redukcji wymiarowości, eksploracji danych temporalnych i systemów wspomagania decyzji. Zajęcia pomocnicze skupiają się na rozwiązywaniu przykładowych problemów świata rzeczywistego za pomocą zaawansowanych algorytmów eksploracji danych.

Ogólny program zajęć:
1. Zaawansowane zagadnienia eksploracji danych.
2. Dane sekwencyjne i temporalne. Wielowymiarowe szeregi czasowe. Prognozowanie metodami stochastycznymi i uczenia maszynowego. Grupowanie i klasyfikacja szeregów czasowych, danych temporalnych i sekwencyjnych. Wzorce charakterystyczne w szeregach czasowych.
3. Systemy rekomendujące. Collaborative Filtering i jego rozszerzenia. Faktoryzacja macierzy i jej rozszerzenia. Grupowanie produktów i użytkowników w systemach rekomendujących. Praktyczne problemy systemów rekomendujących: dokładność (ang. accuracy), pokrycie (ang. coverage), różnorodność (ang. diversity), nowość (ang. novelty) i inne miary oceny systemów rekomendujących.
4. Redukcja wymiarowości. Liniowa redukcja wymiarowości przestrzeni danych. Nieliniowa redukcja wymiarowości przestrzeni danych (w tym przekształcenia kernelowe). Zanurzenia sąsiedztw punktów danych (podejścia deterministyczne i probabilistyczne). Ekstrakcja cech charakterystycznych danych.
5. Eksploracja danych złożonych i nieustrukturalizowanych. Dane geoprzestrzenne. Trajektorie ruchu GPS.
5. Systemy wspomagania decyzji. Wybrane zastosowania zaawansowanej eksploracji danych.

This lecture focuses on advanced data mining algorithms for processing big, complex and unstructured data. It mainly concerns recommendation systems, dimensionality reduction with neighborhood embedding, temporal data mining and decision support systems. In recommendation systems, various approaches from simple collaborative filtering to advanced matrix factorization are presented and discussed in the context of their practical relevance, concerning not only the popular MSE or MAE measures, but also the coverage, diversity, and novelty of recommendations. In temporal data mining, beside the analysis of regular time series with machine learning methods, such as Support Vector Regression and Neural Networks, unstructured temporal data are studied. Additional topics may concern unstructured datasets, such as irregular multidimensional time series, GPS tracks or medical images."
Ethics for the thinking,5,"Wykład, dyskusja",summer,True,False,"Na co dzień etyka nie jest ci potrzebna. Wiesz co robić. Ale czasem sprawy się komplikują…
- w twojej pracy leży laptop. Nikt go nie używa, nikt się nim nawet nie interesuje. Gdybyś go wziął, nikt by się nawet nie zorientował. Przydałby ci się taki laptop…
- spotykasz się z dziewczyną. Wiesz, że nigdy nie zwiążesz się z nią na poważnie, choć ona bardzo na to liczy. Powiedzieć jej o tym? Po co – jej bliskość jest ci tak przyjemna. A może, co gorsze, przydarzyła wam się „wpadka”? Na szczęście jest pewne proste rozwiązanie. Ale czy faktycznie jest ono tak proste, jak weekendowy wyjazd do Austrii lub Holandii?
- zostać w tym kraju czy wyjechać na stałe? Choć masz stąd tożsamość, wykształcenie i miłe obyczaje świąteczne, to jednak tkwienie w tym całym bałaganie... Co prawda mógłbyś zostać i próbować zmieniać swoje najbliższe otoczenie, mógłbyś swoją wiedzą pomnażać dobrobyt  jego mieszkańców, ale z drugiej strony wyjeżdżasz i masz święty spokój, no i te zarobki…

W tego typu sytuacjach zaczynasz się zastanawiać na tym co jest dobre, a co złe, co jest słuszne a co niewłaściwe, co jest powinne a co przeciwpowinne, co jest twoim obowiązkiem, a czego nie wolno ci robić, co jest godne zasługi, a co godne potępienia. Im dłużej się jednak zastanawiasz, tym bardziej zdajesz sobie sprawy z tego, że tak naprawdę nie rozumiesz znaczenia tych pojęć. Wartość, obowiązek, cnota, honor, dobro, powinność, szczęście  – wszystkie te pojęcia są jakoś związane z moralnością, ale czym się od siebie różnią? Co oznaczają?

Ten kurs daje ci możliwość zapoznanie się z podstawowymi sposobami odpowiedzi na pytanie o sens pojęć moralnych. Tok myśli będzie prowadzony w porządku historycznym, zaczniemy od Sokratesa i Platona, a skończymy na współczesnej fenomenologii. Nie zniechęcaj się jednak, bo w etyce, jak w całej filozofii, stare nie oznacza przestarzałe. Dawne koncepcje są laboratorium współczesnego myśliciela. Tak więc poprzez dzieje refleksji etycznej będziemy starali się o analizę podstawowych pojęć moralnych. 

Bądź jednak świadomy, że odbycie tego kursu nie sprawi, że rozstrzyganie twoich problemów moralnych stanie się łatwe. Choć będziesz bardziej świadomy czym jest obowiązek, ale wciąż będziesz musiał sam ustalać, co jest twoim obowiązkiem w tej konkretnej chwili. Będziesz wiedział czym jest wartość, ale sam będziesz musiał rozstrzygać, za którą z dwóch opcji dylematu moralnego kryje się wyższa wartość. Jaka więc korzyść z tego kursu? Subtelniejszy język do przemyśleń moralnych i budowy własnego światopoglądu, większa samoświadomość w sytuacjach granicznych. To już chyba coś?


**Przedmiot będzie prowadzony przez dr. Marcina Drofiszyna z Katedry Logiki i Metodologii Nauk.**"
Warsztaty: Jak założyć firmę?,3,,summer,True,False,"Zajęcia będą miały formę warsztatów. Uczestnicy będą proszeni o opracowanie (w
formie krótkiego referatu będącego wprowadzeniem do dyskusji) jednego z
tematów lub “case study” i udział w dyskusji. Przewiduję udział “anioła
biznesu”, założycieli start-upów, szefów małych firm, osób, którym się nie
bardzo udało (sprzedali start-upy), osób, które rozpędziły kulejące małe
firmy.

Tematy do dyskusji:

Co oferować: tanie usługi, unikalne usługi czy produkt.

Cel strategiczny: sprzedać firmę po zbudowaniu marki, czy budować z myślą o
trwałej niezależnej firmie.

Jaki produkt: istniejący niezależnie, czy po zbudowaniu włączony do większego
systemu.

Jak znaleźć niszę?

Jak ocenić wielkość rynku?

Czy myśleć o rynku lokalnym (Polska), czy globalnym?

Jak poszukiwać partnerów i klientów.

Finansowanie: gdzie są pieniądze? (prywatne i publiczne, granty dla start-
upów).

Przykłady udanych startupów (w Polsce i za granicą)?

Na ogół się nie udaje, co wtedy?

Firma rodzinna (koleżeńska), czy zatrudniająca liderów spoza grona znajomych?

Zrobimy to sami, czy kupimy usługę?

Czy zaczynać zaraz po studiach (lub jeszcze w takcie), czy zdobyć wcześniej
doświadczenie w korporacji?

Ile informatyki w produkcie (usłudze)?

Czy korzystać z usług księgowych, prawników, pijarowców? Gdzie ich szukać?

Czy nawiązywać kontakty z sieciami społecznymi start-upowców."
Formal Languages and Computational Complexity,9,Wykład i ćwiczenia,summer,True,False,"Program przedmiotu obejmuje zagadnienia związane z teorią językow formalnych
(wykłady A1 - A8) w zakresie istotnym z punktu widzenia wykształcenia
informatycznego, a także dostatecznym dla stworzenia zasobow naturalnych
przykładow dla części B i C. Następnie przechodzi się do zagadnień związanych
z pojęciami rozstrzygalności i nierozstrzygalności (wykłady R1 -- R8).
Ostatnia część kursu poświęcona jest wybranym, elementarnym zagadnieniom
złożoności obliczeniowej."
Introduction to databases,6,"Wykład, wykład interaktywny, samodzielne rozwiązywanie zadań, dyskusja, rozwiązywanie zadań z komentowaniem, ćwiczenia warsztatowe, samodzielny projekt programistyczny",summer,True,False,"Celem wykładu jest omówienie zasad konstrukcji relacyjnych baz danych oraz
opanowanie przez słuchaczy umiejętności profesjonalnej obsługi systemu baz
danych od strony użytkownika, czyli:

  * umiejętności projektowania i tworzenia relacyjnych baz danych dla rzeczywistych zagadnień;
  * sprawnego wyszukiwania i odzyskiwania informacji z baz danych przy pomocy języków SQL.
  * pisania aplikacji z dostępem do baz danych;
  * efektywnego wykorzystania dodatkowych możliwości systemu (perspektyw, transakcji, więzów, itp.).

Ponadto wykład pozwala słuchaczom poznać elementy systemów baz danych spoza
warstwy użytkownika (system nadzoru transakcji, zapewnienia bezpieczeństwa i
optymalizacji) oraz zapoznać się z innymi koncepcjami baz danych
wykraczającymi poza standard relacyjny (np. grafowe bazy danych, elementy
rozproszonych baz danych).

**Program wykładu:**

  1. Podstawowe pojęcia baz danych i modelowanie konceptualne.
  2. Relacyjne bazy danych. Języki opisu danych i języki zapytań. SQL.
  3. Elementy aktywnych baz danych (więzy integralności, wyzwalacze).
  4. Elementy systemów baz danych (transakcje, bezpieczeństwo i autoryzacja danych, połączenie relacyjnych języków zapytań z językami macierzystymi).
  5. Teoria relacyjnych baz danych (zależności funkcyjne, normalizacja i denormalizacja).
  6. Metody pisania aplikacji z dostępem do baz danych.
  7. Inne modele baz danych (m.in. bazy grafowe, przetwarzanie dużych danych).

**Program ćwiczeń i pracowni:**

  1. Zajęcia konwersatoryjne pomagające w praktycznym opanowaniu projektowania relacyjnych baz danych.
  2. Opanowanie zapytań w językach SQL.
  3. Zajęcia laboratoryjne pozwalające zapoznać się z systemami zarządzania bazami danych (PostgreSQL itp.).
  4. Wykonanie kompletnego projektu niewielkiej bazy danych.

**Wymagania:** Podstawowa znajomość logiki nabyta np. na Logice dla
informatyków lub Wstępie do matematyki; Podstawowa znajomość algorytmiki, np.
Algorytmy i struktury danych (L); Umiejętność programowania wystarczająca do
napisania aplikacji."
Curves and Surfaces in Computer Graphics,6,"* wykład,
* wykład interaktywny,
* ćwiczenia audytoryjne,
* pracownia programistyczna,
* projekt programistyczny.",summer,True,False,"Krzywe i powierzchnie to podstawowe obiekty grafiki komputerowej. To właśnie przy ich pomocy można modelować skomplikowane kształty i sceny, którym nadaje się później cechy realistyczne i wykorzystuje na przykład w tak modnej ostatnio animacji komputerowej.

Głównym celem wykładu jest przedstawienie podstawowych wiadomości na temat narzędzi pozwalających efektywnie reprezentować i modelować krzywe oraz powierzchnie różnego typu i wygładzać przy ich pomocy dane. Szczególny nacisk położony będzie na omówienie odpowiednich technik i algorytmów z tym związanych, które pozwolą uczestnikom zajęć przygotować własny edytor krzywych lub powierzchni.

  
**Wymagania**

* analiza numeryczna (L lub M),
* umiejętność programowania.

**Program**

1\. Podstawowe pojęcia (działania na punktach i wektorach, kombinacja barycentryczna punktów, otoczka wypukła, długość łuku krzywej, krzywizna).

2\. Reprezentacja krzywych. Krzywe interpolacyjne. Krzywe Béziera. Krzywe sklejane. Krzywe wygładzające.

3\. Reprezentacja powierzchni. Powierzchnie interpolacyjne Lagrange'a. Prostokątne i trójkątne płaty Béziera i ich gładkie łączenie. Powierzchnie sklejane. Powierzchnie wygładzające. Powierzchnie Coonsa i Gordona.

**Literatura**

  * P. Dierckx, _Curve and Surface Fitting with Splines_ , Clarendon Press, Oxford 1993.
  * G. Farin, _Curves and Surfaces for CAGD. A Practical Guide_ , Morgan-Kaufmann, 2002.
  * J. Hoschek, D. Lasser, _Fundamentals of Computer Aided Geometric Design_ , AK Peters, Wellesley (Ma) 1993.
  * J. F. Hughes, A. van Dam, M. McGuire, D. F. Sklar, J. D. Foley, S. K. Feiner, K. Akeley, _Computer Graphics. Principles and Practice_ , Addison-Wesley, 2013.
  * P. Kiciak, _Podstawy modelowania krzywych i powierzchni_ , WNT, Warszawa 2019."
Linux system administration,5,"* Wykład
* Pracownia komputerowa, w tym prezentacja rozwiązań zadań przy komputerze",summer,True,False,"Celem kursu jest rozwinięcie u uczestników praktycznych umiejętności
zarządzania systemem Linux na komputerze osobistym lub serwerze. Zostaną
przedstawione podstawowe informacje na temat budowy i sposobu działania
systemów uniksopodobnych, a szczególnie różnych dystrybucji Linuksa. Zajęcia
są adresowane do wszystkich studentów, którzy chcieliby sprawnie korzystać na
co dzień z systemów linuksowych i którzy są zdania, że to użytkownik powinien
mieć władzę na komputerem, a nie komputer nad użytkownikiem. Mimo że
osiągnięcie tego celu wymaga sporego zaangażowania, wiedzy i praktycznych
umiejętności, nie zakłada się wstępnego doświadczenia słuchaczy w zakresie
administrowania Linuksem. Wystarczy wola odłączenia myszy i chęć pracy z
terminalem tekstowym.

### ORIENTACYJNY SPIS ZAGADNIEŃ PORUSZANYCH NA ZAJĘCIACH

#### I. WSTĘP: ŻYCIE Z LINUKSEM

  1. Hardware i software. Budowa komputera i struktura oprogramowania podstawowego. Jądro i przestrzeń użytkownika. Proces rozruchu komputera. Instalacja systemu i rozpoczęcie pracy z Linuksem.
  2. Terminal tekstowy. Powłoka systemowa. Podstawowe polecenia. Uruchamianie programów, standardowe strumienie wejściowe i wyjściowe, potoki. Uruchamianie i zatrzymywanie procesów. Zarządzanie plikami, prawa dostępu, kopiowanie, archiwizowanie. Edytory tekstu. Przetwarzanie plików tekstowych.
  3. Użytkownik root. Hasła. Su i sudo.

#### II. ZAGADNIENIA SZCZEGÓŁOWE

  1. Hardware i jego diagnostyka, lshw, lsusb, lspci, dmidecode, i2c-tools i in. Urządzenia. Sysfs i udev. Udevd i udevadm.
  2. Dyski. Protokoły SCSI i ATA. USB Storage. Hdparm i smartmontools.
  3. Partycje. MBR i GPT. Narzędzia do partycjonowania dysków, fdisk, parted.
  4. Urządzenia blokowe, device mapper, losetup, dm-crypt, LVM.
  5. Systemy plików. Budowa systemu plików, inode. Księgowanie. Systemy ext2, ext3 i ext4. Tworzenie i zarządzanie systemami plików. Diagnostyka systemów plików, fsck. Montowanie, mount, /etc/fstab itp. Dowiązania, pliki specjalne. FAT i NTFS. Filesystem in userspace. Systemy plików btrfs, ufs, zfs, ffs i in. Szczególne wymagania dysków SSD, discard i fstrim. Linux Directory Structure, katalogi /etc, /usr, /var, /tmp, /boot i ich przeznaczenie.
  6. Przestrzeń wymiany w osobnej partycji i w pliku. Przestrzeń wymiany w pamięci RAM, zram, zswap.
  7. Rozruch komputera. Firmware, Legacy BIOS i UEFI. Konfiguracja, efibootmgr. Inne (Coreboot, Libreboot, U-Boot). Bootloadery drugiego poziomu. GNU Grub 2 i jego konfiguracja. Informacja o Legacy GRUB. Inne popularne bootloadery, Syslinux, LILO, systemd-boot (Gummiboot). Konfiguracja wielosystemowa z BIOS i UEFI, współżycie z systemem MS Windows, rEFInd. PXE i rozruch poprzez sieć komputerową. BOOTP i TFTP. Plymuth i estetyka rozruchu.
  8. Start jądra. Tworzenie i konfigurowanie initramfs. Uruchamianie awaryjne i tryb pojedynczego użytkownika. Moduły jądra, modprobe, lsmod, rmmod, /etc/modules.
  9. Konfiguracja systemu. Katalog /etc i jego struktura.
  10. Uruchamianie przestrzeni użytkownika. System V Init. Proces init, inittab, init.d i rc?.d, runlevels, telinit, update-rc.d, insserv, run-parts. Informacja o Upstart.
  11. Systemd i jego konfiguracja. Filozofia działania systemd. Organizacja i składnia plików konfiguracyjnych. Demony systemd. Jednostki systemd. Cele i metody ich osiągania. Serwisy i inne jednostki.
  12. Zarządzanie użytkownikami. Logowanie do systemu, getty i login. Konsola zdalna i minicom. Hasła, passwd i shadow. PAM. Własność procesów, suid.
  13. Dziennik systemowy, rsyslog, logger, /var/log, journalctl i dmesg. Zdalny zapis dziennika. Protokół SMTP i narzędzia do korzystania z niego.
  14. Synchronizacja czasu, NTP, ntpd, ntpdate, open-ntp, chrony, systemd-timesyncd.
  15. Planowanie wykonania procesów, procesy wsadowe. Cron, crontab, anacron, systemd-timer. Polecenie at.
  16. Zarządzanie procesami i ich diagnostyka, ps, lsof, strace, ltrace. Wysyłanie sygnałów do procesów, kill, killall, nohup. Wątki. Pomiar czasu procesora, obciążenia, zużycia pamięci i operacji wejścia/wyjścia (top, times, vmstat, iostat, iotop, pidstat itp). Priorytety procesów, nice. Komunikacja międzyprocesowa. Gniazda. Dbus. Komunikacja między użytkownikami, wall.
  17. Biblioteki współdzielone, /lib, /usr/lib, ldd, ldconfig, /etc/ld.so.conf, LD_LIBRARY_PATH.
  18. Repozytoria pakietów i dystrybucje Linuksa. Debian, Ubuntu i pakiety deb. Konfigurowanie apt i aptitude. RHEL, Fedora, Centos i rpm. Arch Linux i pacman. Dystrybucje specjalizowane, Kali Linux, Tails i in. Krzyżowanie dystrybucji. Linux from scratch.
  19. Efektywna praca w trybie tekstowym. Powłoki bash (sh, dash, ash), c-shell (csh, tcsh), zsh. Biblioteka readline. Terminal, terminfo, termcap. Screen i tmux. Konfiguracja iterpretera powłoki. Tekst zachęty, Powershell. Lokalizacja i internacjonalizacja, locale, tzdata, kodowanie znaków.
  20. Skrypty powłoki. Narzędzia sed, awk. Polecenia użytkowe wc, tr, sort, head, tail, tee, xargs, grep, find, locate i wiele innych.
  21. Separacja procesów, namespaces, cgroups. Piaskownice, firejail i in. Apparmor. Selinux.
  22. Wirtualizacja. LXC i docker. Qemu i KVM. Xen. Informacja o programie Virtualbox.
  23. Sieci komputerowe i podstawowa konfiguracja sieci w Linuksie. Podstawowe polecenia konfiguracyjne. Konfiguracja statyczna i dynamiczna. DHCP. Gniazda. Bezpieczeństwo i iptables. Usługi sieciowe, sshd, inetd i xinetd. Gniazda systemd. RPC. Usługi nazw, bind9.
  24. Usługi drukowania, lpr i Cups.
  25. Informacja o trybie graficznym (gdyby kiedyś był potrzebny). Serwer wyświetlania X Windows, xinit, startx. Graficzny zarządca logowania (xdm, gdm, sddm, lightdm i in). Zarządca okien (kwin, Metacity, xfwm, Openbox i wiele in). Typy zarządców okien (tiling, stacking, compositing, dynamic). Środowisko graficzne (KDE, Gnome, XFCE i wiele innych). XTerminale (xterm, urxvt, konsole, terminal i in). Niedoskonałości serwera X Windows. Weyland. Zdalny terminal graficzny (xpra, xephyr, xnest, RDP, Winswitch, vnc, x2go, NX tech i in.)
  26. Oprogramowanie Open Source. FSF. Typy licencji. GNU i BSD.

Zakres materiału obejmuje większość zagadnień wymaganych na egzaminach
certyfikacyjnych CompTIA Linux+ (LX0-103 i LX0-104) oraz LPIC-1 (LPI 101 i LPI
102 — Certified Linux Administrator).

### LITERATURA

1. Brian Ward, _Jak działa Linux. Podręcznik administratora_, wydanie II,
   Helion 2015.
2. Evi Nemeth, Garth Snyder, Trent R. Hein, Ben Whaley, Dan Mackin,
   _Unix i Linux. Przewodnik administratora systemów_, wydanie V,
   Helion 2018."
Probability and Statistics,6,"* Wykład
* Rozwiązywanie zadań z komentowaniem
* Indywidualne rozwiązywanie zadań
* Samodzielna praca przy komputerze",summer,True,False,"**Program:**

  1. Pojęcie prawdopodobieństwa, przestrzeń zdarzeń, pojęcie zmiennej losowej, jej rozkład i charakteryzacja.
  2. Zmienne losowe dyskretne (rozkłady: Bernoulliego, geometryczny, Poissona, hipergeometryczny).
  3. Zmienne losowe ciągłe (rozkłady: jednostajny, wykładniczy, gamma, normalny, beta, Weibulla). Charakterystyki zmiennych losowych - momenty.
  4. Rozkłady zmiennych losowych wielowymiarowych (rozkład dwuwymiarowy, rozkład warunkowy, rozkład brzegowy, niezależność dwóch zmiennych losowych); Macierze kowariancji i korelacji. Wielowymiarowy rozkład normalny i szczególny przypadek dwuwymiarowy(elipsa koncentracji, proste regresji).
  5. Funkcje od dwuwymiarowych zmiennych losowych. Wyznaczanie gęstości i dystrybuanty funkcji zmiennych losowych.
  6. Funkcja charakterystyczna i jej własności. Związek funkcji charakterystycznej z momentami zmiennej.
  7. Populacja i próbka. Rozkłady próbkowe (chi-kwadrat, t-Studenta, F-Snedecora). Centralne twierdzenie graniczne.
  8. Estymacja punktowa i przedziałowa. Testowanie hipotez statystycznych. Weryfikacja zgodności rozkładów.
  9. Regresja liniowa i inne rodzaje regresji.
  10. Różne rodzaje analizy wariancji i związek tejże z regresją.

**Zajęcia odbędą się w formie zdalnej.**

**Wykład**: notatki i nagrania wykładów na stronie przedmiotu w SKOSie oraz spotkania w MS Teams. Notatki w postaci wcześniej przygotowanego tekstu (LaTeX) oraz rękopis powstający w trakcie wykładu.

**Ćwiczenia**: forma stacjonarna, co tydzień listy zadań, deklaracje przed ćwiczeniami.

Zaliczenie: na podstawie deklaracji oraz aktywności w trakcie ćwiczeń. 

Ocena końcowa: punkty z ćwiczeń, zadania dodatkowe z list zadań oraz (rozpoczynając od listy 5-6) dodatkowe zadania obliczeniowe, nie więcej niż 4, nie częściej niż co 2 tygodnie.

**Wymagania:**

Algebra: znajomość podstawowych pojęć algebry liniowej -- przestrzeń liniowa,
przekształcenie liniowe i jego macierz, działania na macierzach.  

Analiza: umiejętność obliczania podstawowych całek, całkowanie przez podstawienie i przez części; całki podwójne.

Analiza numeryczna: aproksymacja średniokwadratowa, całkowanie numeryczne.

**Zalecana literatura (podręczniki)**  
**Gernstenkorn, Śródka** – Kombinatoryka i rachunek prawdopodobieństwa.  
**Majsnerowska** – Wprowadzenie do rachunku prawdopodobieństwa z zadaniami.  
Sobczyk – Statystyka.  
Jakubowski, Sztencel – Wstęp do teorii prawdopodobieństwa."
Computer Architecture for Programmers,8,"Wykład, rozwiązywanie zadań z komentowaniem, indywidualne rozwiązywanie zadań, indywidualna analiza kodu źródłowego i kodu maszynowego, konsultowanie pomysłów na rozwiązywanie zadań programistycznych, samodzielna praca przy komputerze.",summer,True,False,"Celem przedmiotu jest wprowadzenie słuchaczy do budowy i zasad działania komputerów z punktu widzenia programisty. Studenci nabędą wiedzy z zakresu programowania niskopoziomowego. Po zakończeniu przedmiotu będą rozumieć:

 * reprezentację programów i danych na dysku i w pamięci komputera,
 * wpływ architektury komputera na wydajność aplikacji,
 * mechanizmy sprzętowe używane do implementacji systemów operacyjnych,
 * jak unikać pisania programów podatnych na ataki.

##### Program

1. Reprezentacja danych
   * reprezentacja danych w pamięci komputera
   * arytmetyka na liczbach binarnych w systemie uzupełnień do dwóch
   * arytmetyka na liczbach zmiennopozycyjnych standardu IEEE754
   * problemy wynikające z ograniczeń reprezentacji maszynowych typów numerycznych
2. Programowanie niskopoziomowe
   * reprezentacja pośrednia programów (kod trójadresowy, graf przepływu sterowania)
   * translacja konstrukcji języka C do asemblera procesorów x86-64 (wyrażenia, instrukcje sterujące, typy rekordowe i tablicowe)
   * konwencja wołania procedur i organizacja stosu wywołań (ABI)
3. Konsolidacja i ładowanie
   * proces kompilacji, konsolidacji i ładowania programów (sekcje, relokacje, układ pamięci)
   * reprezentacja programów – format plików ELF
   * biblioteki i konsolidator dynamiczny (ld.so)
4. Podatności programów na ataki
   * błąd przepełnienia stosu
   * wykorzystywanie podatności (wstrzykiwanie kodu, programowanie zorientowane na powroty)
   * sprzętowe i programowe techniki zapobiegania podatnościom (ASLR, W^X)
5. Pamięć masowa i operacyjna
   * hierarchia pamięci i lokalność dostępów
   * organizacja pamięci operacyjnej (czasu dostępu, protokół DDR)
   * dyski magnetyczne (multi-zone recording, buforowanie)
   * dyski półprzewodnikowe (odśmiecanie bloków)
   * komunikacja procesora z urządzeniami peryferyjnymi (przerwania, MMIO, DMA)
6. Pamięć podręczna
   * organizacja pamięci podręcznej (zbiór, blok, znacznik, bity dodatkowe)
   * polityka wymiany bloków (LRU)
   * polityka zapisu (write-back, write-through)
   * analiza i optymalizacja programów pod kątem lokalności dostępów
7. Translacja adresów i pamięć wirtualna
   * motywacja: zarządzanie pamięcią, izolacja, leniwe sprowadzanie danych 
   * przestrzeń adresowa i mechanizm translacji adresów
   * zbiór roboczy i rezydentny, błąd strony
   * hierarchiczna reprezentacja tablicy stron
   * przyspieszanie procesu translacji dzięki TLB
   * przełączanie przestrzeni adresowych
   * problemy na styku translacji adresów i pamięci podręcznej (homonimy i synonimy)
8. Wpływ mikroarchitektury procesora na wydajność programów
   * przetwarzanie superskalarne (procesory Out-of-Order, spekulacja)
   * modelowanie obliczeń grafem przepływu danych
   * przewidywanie skoków (BHT i BTAC)

##### Zajęcia

Większość zajęć do przedmiotu będzie prowadzona w postaci ćwiczeń z deklaracjami. Pozostałe to pracownie programistyczne:

 * programowanie w asemblerze x86-64
 * odpluskwianie programów z użyciem [gdb](https://www.gnu.org/software/gdb/)
 * przeprowadzanie ataków na podatne oprogramowanie
 * optymalizacja programów w języku C

##### Zmiana od roku akademickiego 2021/2022

**W związku ze zmianą wymiaru godzinowego, od roku 2021/2022 zmienia się liczba punktów ECTS z 6 do 8.**"
